Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12787545472,405148313,7/1/2021 9:59,7/1/2021 10:02,,,,,,Not at all,At least once a day,Not at all,Not at all,About once a week,At least once a day,Not at all,At least once a day,Not at all,Not at all,Expert,Not at all,Not at all,Not at all,Intermediate,Not at all,Intermediate,Basic stuff,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,,,,"Linear regression, including GLMs",,,,,Bornhuetter-Ferguson,,,Chain-ladder,Tree-based methods like random forests,,,,FCAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 10 and 15
12787543103,405148313,7/1/2021 9:57,7/1/2021 10:01,,,,,,About once a week,At least once a day,Not at all,Not at all,Not at all,At least once a day,Not at all,Not at all,At least once a day,Advanced,Expert,Not at all,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Advanced,Very much so,Somewhat,,Very much so,Very much so,,Unsure,Unsure,,Somewhat,Unsure,,Very much so,Somewhat,,Very much so,Very much so,,Unsure,Unsure,,Very much so,Very much so,,Very much so,Somewhat,,,R,,,,Python,A data visualization tool like Tableau,,,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,Up to 30 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
12787542258,405148313,7/1/2021 9:58,7/1/2021 10:01,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,,R,,,,,,,,,,,,,,Not enough time,,,,,Lack of IT support,,,,,,,Premium adjustment,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,51-60 years old,United States,,Insurance company,,51-200,More than 20
12787542105,405148313,7/1/2021 9:56,7/1/2021 10:01,,,,,,Not at all,About once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,Powerpoint,,,,,,,,,,,,,,,Not enough time,,,,,,,,No perceived benefit,,,,,,,,,,,,,,"Actuarial work goes beyond just analysis.  Communications is also vital, and software designed to help with that should be included.",FCAS,51-60 years old,United States,,Insurance company,,25-Nov,More than 20
12787540446,405148313,7/1/2021 9:57,7/1/2021 10:00,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,At least once a day,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Expert,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Emblem and Radar (Willis Towers Watson Pricing Suite),,Excel,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,,,,,,FCAS,31-40 years old,United States,,Insurance company,,25-Nov,Between 15 and 20
12787539475,405148313,7/1/2021 9:43,7/1/2021 10:00,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Word + integration of Word & Excel via Office,,Excel,,,,,,,,Word,,,,,,,I question how much I might use new (to me) technology give my 'time in grade'.,,,,,,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,"My early exposure to actuarial work was based on paper rate filings for PPA.  I currently organize much of my work around a document-oriented analysis suitable for review by a non-technical audience.  Actuaries and those who consume actuarial work need to incorporate simple software (Excel, e.g..) into their work and its presentation.  ",ACAS,61 or older,United States,,Other (please specify),"retired, but active enough to need CE time",5-Jan,More than 20
12787538176,405148313,7/1/2021 9:58,7/1/2021 10:00,,,,,,About once a week,At least once a day,Not at all,About once a month,About once a month,Not at all,Not at all,Not at all,At least once a day,Basic stuff,Expert,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Not at all,Intermediate,Very much so,,,Very much so,,,Somewhat,,,Very much so,,,Very much so,,,Unsure,,,Unsure,,,Unsure,,,Very much so,,,,R,,,SAS,,,,,,,,,,,,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,Up to 30 years old,United States,,Insurance company,,26-50,Between 5 and 10
12787537105,405148313,7/1/2021 9:54,7/1/2021 9:59,,,,,,About once a month,At least once a day,Not at all,Not at all,Less than once a month,Not at all,Not at all,Less than once a month,Less than once a month,Basic stuff,Advanced,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Basic stuff,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,None,R,,,,Python,,,,SQL,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,,,,,,ACAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 10 and 15
12787535290,405148313,7/1/2021 9:55,7/1/2021 9:59,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Advanced,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,Excel,,,,A data visualization tool like Tableau,,,SQL,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Excel is so good it's hard to find time to break away from it,,Lack of management support,Lack of IT support,Financial cost,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Consulting Firm,,10-Jun,Between 15 and 20
12787532132,405148313,7/1/2021 9:53,7/1/2021 9:57,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,Not at all,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Somewhat,Somewhat,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Very much so,Unsure,,R,,,,Python,,,,,,,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,,,Premium adjustment,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,51-200,More than 20
12787530213,405148313,7/1/2021 9:52,7/1/2021 9:57,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,At least once a day,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,,,,Somewhat,,,,,,,,,,,,,,,,,,,,,Somewhat,,,,R,,,,,,,,SQL,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
12787529790,405148313,7/1/2021 9:53,7/1/2021 9:57,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,Not at all,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,,,,Very much so,Very much so,Somewhat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not my job. My staff uses much more software than I do.,Insufficient/inadequate staff,,Lack of IT support,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,61 or older,United States,,Insurance company,,26-50,More than 20
12787525969,405148313,7/1/2021 9:51,7/1/2021 9:55,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Not at all,Intermediate,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,,,Excel,,,,,,,,,,,,,Not enough time,No perceived benefit,,Insufficient/inadequate staff,,,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Broker or (re)insurance intermediary,,51-200,More than 20
12787525682,405148313,7/1/2021 9:46,7/1/2021 9:55,,,,,,About once a month,At least once a day,Not at all,About once a week,Not at all,Less than once a month,Not at all,Less than once a month,About once a week,Intermediate,Expert,Basic stuff,Intermediate,Not at all,Basic stuff,Not at all,Basic stuff,Intermediate,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Not at all,Not at all,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,"VBA for Excel, ResQ, RMarkdown, R Shiny, OneNote (for collaborating), GitHub, Rally Kanban",R,,,,,,,,SQL,,,,,,Not enough time,No perceived benefit,"Don't know where to start (Python, Matlab)",,,,,Not enough time,,Legacy processes using old technology are stable and viable; changing process adds an element of uncertainty in timeliness and results,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Fitting data to one-way probability density functions,,ACAS,31-40 years old,United States,,Insurance company,,51-200,Between 5 and 10
12787524963,405148313,7/1/2021 9:51,7/1/2021 9:55,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,Less than once a month,Not at all,Expert,Basic stuff,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,Basic stuff,Unsure,Unsure,Unsure,Very much so,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Somewhat,Somewhat,,,,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,Lack of IT support,Financial cost,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Reinsurance company,,5-Jan,More than 20
12787521249,405148313,7/1/2021 9:50,7/1/2021 9:54,,,,,,Not at all,At least once a day,About once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Expert,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,,,Python,,,,SQL,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,No perceived benefit,,,Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Consulting Firm,,10-Jun,More than 20
12787519614,405148313,7/1/2021 9:50,7/1/2021 9:53,,,,,,Less than once a month,At least once a day,Not at all,About once a month,At least once a day,Not at all,Not at all,Not at all,At least once a day,Expert,Advanced,Basic stuff,Expert,Expert,Not at all,Not at all,Not at all,Advanced,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Very much so,,,,,,,,,,Very much so,Very much so,Very much so,,,,,,Python,,,,,,,Lack of management support,Lack of IT support,,Not enough time,,,,Lack of management support,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,,,AI/deep learning,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,ACAS,31-40 years old,United States,,Insurance company,,51-200,Between 10 and 15
12787519479,405148313,7/1/2021 9:46,7/1/2021 9:53,,,,,,Not at all,At least once a day,Not at all,About once a week,At least once a day,About once a week,Not at all,Not at all,About once a week,Intermediate,Expert,Advanced,Expert,Intermediate,Basic stuff,Basic stuff,Not at all,Expert,Very much so,Very much so,Very much so,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Very much so,Somewhat,Not at all,,,,,SAS,Python,,,,,,,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,"Bayesian analysis, and/or MCMC",,,,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,United States,,Insurance company,,51-200,Between 5 and 10
12787519315,405148313,7/1/2021 9:47,7/1/2021 9:53,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,At least once a day,At least once a day,Not at all,Expert,Basic stuff,Intermediate,Not at all,Not at all,Not at all,Advanced,Advanced,Very much so,Very much so,Unsure,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Not at all,Somewhat,Somewhat,Unsure,Unsure,Unsure,Not at all,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Seems pretty comprehensive to me.,,,,,,,,,SQL,,Insufficient/inadequate staff,,,,,No perceived benefit,,Insufficient/inadequate staff,,,,,No perceived benefit,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,"I would like to ""score"" our renewal business using advanced techniques, but if we ever were going to do it we would most likely spend money with a vendor.",FCAS,31-40 years old,United States,,Other (please specify),MGA,5-Jan,Between 15 and 20
12787518900,405148313,7/1/2021 9:45,7/1/2021 9:53,,,,,,Not at all,At least once a day,Not at all,,Not at all,Not at all,At least once a day,About once a month,About once a month,Not at all,Advanced,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Basic stuff,Basic stuff,,,,Very much so,Very much so,Somewhat,,,,,,,,,,,,,,,,,,,,,,,,Excel,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,Financial cost,Not enough time,,,,,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Reinsurance company,,5-Jan,More than 20
12787517609,405148313,7/1/2021 9:47,7/1/2021 9:52,,,,,,Not at all,At least once a day,Not at all,About once a month,Not at all,About once a week,Not at all,Not at all,Less than once a month,Not at all,Expert,Expert,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,"Perceptor, HotSpot",,,,SAS,,A data visualization tool like Tableau,,,SQL,,,,Lack of IT support,,Not enough time,,,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Insurance company,,51-200,More than 20
12787516781,405148313,7/1/2021 9:13,7/1/2021 9:52,,,,,,Less than once a month,At least once a day,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,At least once a day,Intermediate,Expert,Basic stuff,Intermediate,Not at all,Basic stuff,Basic stuff,Not at all,Intermediate,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Unsure,Unsure,Unsure,Very much so,Not at all,Somewhat,Somewhat,Unsure,Unsure,,Not at all,,Unsure,Not at all,Unsure,Not at all,Not at all,Somewhat,,,,,R,,,SAS,,,,,,,,,,,Not enough time,,,,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Insurance company,,10-Jun,More than 20
12787516702,405148313,7/1/2021 9:44,7/1/2021 9:52,,,,,,About once a month,At least once a day,Not at all,Not at all,About once a week,Not at all,Not at all,Not at all,About once a week,Intermediate,Expert,Basic stuff,Basic stuff,Advanced,Basic stuff,Not at all,Not at all,Advanced,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,"Proprietary tools: Towers Watson Suite, Guidewire Analytics, Earnix etc.   ",,,,,Python,,,,,,Insufficient/inadequate staff,,,,,,Working for a proprietary vendor in our own toolkit makes the need to learn it daramtically reduced,,,,,,,,"Linear regression, including GLMs",Credibility,,,,,,AI/deep learning,,Tree-based methods like random forests,,,,FCAS,31-40 years old,United States,,Other (please specify),Software company facilitating insurance core systems and analytics products,10-Jun,Between 10 and 15
12787515849,405148313,7/1/2021 9:48,7/1/2021 9:52,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Less than once a month,Not at all,Less than once a month,About once a month,Not at all,Expert,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Intermediate,Unsure,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,,,Excel,,,Python,,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,,,No perceived benefit,,"Linear regression, including GLMs",,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,25-Nov,Between 10 and 15
